#Position (bp)	insert size
2.0865417025E9	165.05175983436854
2.0908745915E9	1594.798791226385
2.0991226175E9	166.22796823796318
2.1073706435E9	7647.855797101449
2.1156186695E9	3097.805970149254
2.1238666955E9	694.0935926489984
2.1321147215E9	175.81628634894992
2.1403627475E9	166.4344043253993
2.1486107735E9	455.32261375761425
2.1568587995E9	166.4956017218791
2.1651068255E9	167.16030913649706
2.1733548515E9	525.0327549426369
2.1816028775E9	479.77468654076273
2.1898509035E9	173.69494848890412
2.1980989295E9	650.1798058547328
2.2063469555E9	165.58816468808575
2.2145949815E9	166.6793394867921
2.2228430075E9	383.7768498339128
2.2310910335E9	353.31717372537736
2.2393390595E9	167.36014086630036
2.2475870855E9	213.4612155164422
2.2558351115E9	166.1683746189619
2.263915105E9	175.58225013311616
2.26791743E9	156.15315315315314
2.2680854625E9	165.4278704612365
2.2723311635E9	1462.9676638699775
2.2805791895E9	2329.442371655821
2.2888272155E9	3230.899922905147
2.2970752415E9	478.80995032522657
2.3053232675E9	278.0616701552688
2.3135712935E9	167.45259585241743
2.3218193195E9	1003.4022071779654
2.3300673455E9	2890.8778801205985
2.3383153715E9	165.8280402217504
2.3465633975E9	166.30092817179263
2.3548114235E9	167.2546332457573
2.3630594495E9	164.13999571222934
2.3713074755E9	1012.0556866048863
2.3795555015E9	335.13634051212483
2.3878035275E9	166.80912203175836
2.3960515535E9	166.82623122988917
2.4042995795E9	167.26925823521873
2.4125476055E9	200.2819033719058
2.4207956315E9	167.36486231223464
2.4290436575E9	166.63153095116584
2.435968712E9	166.21426626398653
2.440092725E9	681.9291526069446
2.4455397095E9	903.0680887961378
2.4537877355E9	1871.3623723428398
2.4620357615E9	166.9253664487353
2.4702837875E9	1289.4837863313478
2.4785318135E9	168.11644845041542
2.4867798395E9	593.4189845806694
2.4950278655E9	394.0803821062442
2.5032758915E9	542.2783374427615
2.5115239175E9	166.34162483733036
2.5197719435E9	413.78229395748247
2.5280199695E9	521.4360979625437
2.5362679955E9	166.89304432177425
2.5445160215E9	692.0191564419333
2.5527640475E9	166.7982685058614
2.5610120735E9	166.55000943711252
2.5692600995E9	167.02981177469573
2.5775081255E9	167.63593644059264
2.5857561515E9	167.48892734978674
2.5939979455E9	165.8259502068212
2.5981219585E9	0.0
2.6022522035E9	165.81040702615923
2.6105002295E9	165.43322489512883
2.6187482555E9	1112.6591209418764
2.6269962815E9	762.5541986664874
2.6352443075E9	166.42228415300548
2.6434923335E9	166.6572484003606
2.6517403595E9	166.26888944878363
2.6599883855E9	165.64557068982998
2.6682364115E9	166.708578607686
2.6764844375E9	165.7080626470485
2.6847324635E9	165.42098406830385
2.6929804895E9	166.61266515001014
2.7012285155E9	493.0991145764504
2.7094765415E9	165.57804116133775
2.7177245675E9	167.25182167651616
2.7259725935E9	165.48936553417929
2.7342206195E9	165.78041080356684
2.7407994975E9	166.124004669559
2.7449235105E9	2291.176126091717
2.7507166715E9	2994.1203697326187
2.7589646975E9	2340.481436892732
2.7672127235E9	166.62230294679486
2.7754607495E9	196.69396173577584
2.7837087755E9	2123.812412221841
2.7919568015E9	151.1426592797784
2.8002048275E9	161.61449942462602
2.8084528535E9	195.5651191686434
2.8167008795E9	166.76039376952284
2.8249489055E9	167.83582220992113
2.8331969315E9	510.9792996807662
2.8414449575E9	185.63836341825254
2.8496929835E9	167.0426872828693
2.8579410095E9	166.92754170067923
2.8661890355E9	231.8293707767489
2.8744370615E9	166.84194995129232
2.880105077E9	165.6523029705632
2.8816691105E9	171.49295774647888
2.8817081685E9	169.682092555332
2.881815618E9	166.15715292459478
2.8819235655E9	173.33370535714286
2.8821203125E9	166.21935249181521
2.88242567E9	168.68628762541806
2.8826085695E9	158.32835820895522
2.882755976E9	161.23393316195373
2.882939838E9	167.53455284552845
2.8830861915E9	167.72602400692983
2.8833246155E9	166.67953667953668
2.8835330345E9	158.19540229885058
2.8840139925E9	166.76247531270573
2.884682622E9	165.4673487812218
2.8849783395E9	168.5596
2.8851293765E9	158.48852459016393
2.88523294E9	168.67
2.885380196E9	165.28183908045978
2.8855523165E9	167.45238095238096
2.8856843195E9	164.19614147909968
2.885822535E9	161.45337620578778
2.885958065E9	163.1654135338346
2.886082272E9	152.83333333333334
2.886192519E9	165.98994974874373
2.886295634E9	168.87777777777777
2.88640561E9	170.29124709527497
2.8865546035E9	164.7720394736842
2.8867224755E9	165.87533156498674
2.8868061825E9	174.63636363636363
2.886892758E9	170.97880646960402
2.887031009E9	166.03703703703704
2.8871976565E9	167.46290143964563
2.887400046E9	166.66582597730138
2.887577206E9	169.99864743011722
2.8877881565E9	161.54430379746836
2.8879687995E9	168.12287334593572
2.8881279725E9	167.61374943464494
2.888311843E9	168.87789084181313
2.8884852595E9	166.61146496815286
2.8886875845E9	151.45454545454547
2.888985801E9	152.51046025104603
2.889229866E9	156.64912280701753
2.8895790755E9	166.9196657001535
2.889951796E9	155.3125
2.8901135465E9	168.9450867052023
2.8902557705E9	156.92857142857142
2.8904186985E9	162.50948509485096
2.8906437185E9	157.75324675324674
2.8908288345E9	165.36067551266586
2.890981424E9	164.7470725995316
2.8911688005E9	166.10961713764814
2.8913080195E9	167.58064516129033
2.8914628095E9	162.81025641025641
2.8916585145E9	169.15981735159818
2.8925472575E9	168.04418363824647
2.893404342E9	160.31034482758622
2.8935413165E9	158.5801526717557
2.8937144E9	156.21014492753622
2.8938670755E9	169.4217638691323
2.894495074E9	167.30443433769187
2.896831261E9	168.0119458455004
