#Position (bp)	insert size
1.3732963295E9	2492.278792076922
1.3815443555E9	204.78367296222663
1.3897923815E9	968.6306357617241
1.3980404075E9	196.72652425456164
1.4062884335E9	508.1697154288392
1.4145364595E9	193.12319471706942
1.4227844855E9	205.31167109683483
1.4310325115E9	195.67931042472833
1.4392805375E9	194.18440626645602
1.4475285635E9	196.27313655495763
1.4557765895E9	196.79427115740774
1.4640246155E9	465.1732175531881
1.4722726415E9	272.57347780868713
1.4805206675E9	195.99729317917001
1.4887686935E9	195.8537486848726
1.4970167195E9	196.61676557951466
1.5052647455E9	195.99522281379913
1.5135127715E9	256.47401399960927
1.5217607975E9	196.81759567088352
1.5300077405E9	195.27606395944036
1.5341317535E9	0.0
1.5382568495E9	195.82937834146705
1.5465048755E9	194.7420651153837
1.5547529015E9	482.68563375445325
1.5630009275E9	211.4819189955906
1.5712489535E9	221.73510254566725
1.5794969795E9	196.1075787283422
1.5877450055E9	194.99358750421874
1.595221928E9	194.30607551906863
1.599345941E9	0.0
1.6042410575E9	189.67150538529407
1.6124890835E9	194.70578582914902
1.6207371095E9	1130.3851778656126
1.6289851355E9	196.18444372457978
1.6372331615E9	195.7325500530727
1.6433209975E9	195.45242238068423
1.6474450105E9	0.0
1.6537292135E9	1840.5360824742268
1.6619772395E9	207.65281438982788
1.6702252655E9	196.59755098362135
1.6784732915E9	196.59138479122763
1.6867213175E9	195.51790277285838
1.6934743095E9	194.23396388650042
1.6961786655E9	196.07224508459078
1.696274814E9	191.97994269340975
1.6963854715E9	185.68501010984207
1.6965578825E9	196.41997019374068
1.696661813E9	165.78016085790884
1.6967741785E9	780.4138972809668
1.6969170575E9	149.03703703703704
1.697018664E9	169.60256410256412
1.697105344E9	169.6875
1.697223072E9	172.53947368421052
1.697380707E9	184.22935779816513
1.6982754815E9	1067.766765483535
1.7032173695E9	1299.8530003768278
1.7114653955E9	196.17065267217805
1.7197134215E9	193.8280988694896
1.7279614475E9	195.15931995746845
1.7362094735E9	197.02165211566248
1.7444574995E9	197.01784534038333
1.7527055255E9	197.2799940268718
1.7609535515E9	2822.2576742381198
1.7692015775E9	1801.0628532101591
1.7774496035E9	2857.375841194727
1.7856976295E9	191.84043224031186
1.7939456555E9	196.1539813207527
1.8021936815E9	195.80530873526678
1.8104417075E9	196.63084323712508
1.8186897335E9	196.90866002534466
1.8269377595E9	196.91610698365528
1.8351857855E9	195.9099616218922
1.8434338115E9	356.16592579395126
1.8516818375E9	196.01256347714823
1.8599298635E9	192.61434210120572
1.8681778895E9	694.1869686861078
1.8764259155E9	193.7137551330003
1.8846739415E9	196.72967478691015
1.89227556E9	195.51877687341388
1.895830864E9	183.6306868867083
1.8964772715E9	196.45865108138517
1.9011699935E9	828.0163041678472
1.9094180195E9	195.18635924028231
1.9176660455E9	2167.9273010389043
1.9259140715E9	190.27917085495395
1.9341620975E9	1554.5357883140791
1.9424101235E9	199.96003079938401
1.9506581495E9	728.3511544052405
1.9589061755E9	189.6650176465265
1.9671542015E9	196.8121417442143
1.9754022275E9	196.26718323351733
1.9836502535E9	196.49372463673257
1.9918982795E9	195.18346275489483
2.0001463055E9	194.48428980370775
2.0083943315E9	195.80453790707273
2.0166423575E9	196.09325151265128
2.0248903835E9	193.53209048361936
2.0331384095E9	194.43890512427302
2.0413864355E9	211.40374030893057
2.0496344615E9	195.62726832997862
2.0578824875E9	194.47242718446603
2.0661305135E9	193.5361117279838
2.0743785395E9	190.92946368759112
2.082312835E9	196.23495626616355
2.086227972E9	188.40130963517305
2.0865417025E9	194.80146430750457
2.0908745915E9	1256.0691028477625
2.0991226175E9	195.07601223353265
2.1073706435E9	4192.137668372448
2.1156186695E9	1483.3456352339945
2.1238666955E9	196.60297804732573
2.1321147215E9	760.9355452427944
2.1403627475E9	195.82816049170629
2.1486107735E9	1467.723776029204
2.1568587995E9	195.24369461848585
